Model,Threads,Transitions,array_size,ns_per_trans
Unsynchronized,2,1000,500,5417.05
Unsynchronized,8,100000,500,1563.93,mismatch
Unsynchronized,8,100000,500,1653.11,mismatch
Unsynchronized,8,10000000,500,507.122,mismatch
Unsynchronized,8,10000000,500,511.591,mismatch
Unsynchronized,8,10000000,500,512.303,mismatch
Unsynchronized,8,10000000,500,520.774,mismatch
Unsynchronized,8,10000000,500,508.819,mismatch
Unsynchronized,8,10000000,500,455.078,mismatch
Unsynchronized,8,10000000,500,538.540,mismatch
Unsynchronized,8,10000000,500,531.108,mismatch
Unsynchronized,8,10000000,500,529.332,mismatch
Unsynchronized,8,10000000,500,507.731,mismatch
Unsynchronized,12,1000,500,48974.2
Unsynchronized,12,1000,500,46535.1
Unsynchronized,12,1000,500,45543.6,mismatch
Unsynchronized,12,1000,500,44263.7
Unsynchronized,12,1000,500,43129.2
Unsynchronized,12,1000,500,42854.2,mismatch
Unsynchronized,12,1000,500,40913.7
Unsynchronized,12,1000,500,38453.4,mismatch
Unsynchronized,12,1000,500,46294.2,mismatch
Unsynchronized,12,1000,500,41534.7,mismatch
Unsynchronized,12,100000,500,2511.53,mismatch
Unsynchronized,12,100000,500,2293.75,mismatch
Unsynchronized,12,100000,500,2391.08,mismatch
Unsynchronized,12,100000,500,2508.10,mismatch
Unsynchronized,12,100000,500,2427.60,mismatch
Unsynchronized,12,100000,500,2505.27,mismatch
Unsynchronized,12,100000,500,2466.32,mismatch
Unsynchronized,12,100000,500,2222.79,mismatch
Unsynchronized,12,100000,500,2475.28,mismatch
Unsynchronized,12,100000,500,2478.39,mismatch
Unsynchronized,12,10000000,500,834.373,mismatch
Unsynchronized,12,10000000,500,954.823,mismatch
Unsynchronized,12,10000000,500,973.483,mismatch
Unsynchronized,12,10000000,500,881.230,mismatch
Unsynchronized,12,10000000,500,945.237,mismatch
Unsynchronized,12,10000000,500,805.871,mismatch
Unsynchronized,12,10000000,500,903.032,mismatch
Unsynchronized,12,10000000,500,893.222,mismatch
Unsynchronized,12,10000000,500,826.486,mismatch
Unsynchronized,12,10000000,500,896.928,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,66719.8
Unsynchronized,16,1000,500,63959.5
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,55001.4
Unsynchronized,16,1000,500,59408.0
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,1000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,100000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
Unsynchronized,16,10000000,500,to[][][,]-_,mismatch
